0.000000e+00 5.500000e+02 5.000000e+01 4.000000e+02 
5.000000e+00 5.428641e+02 5.452405e+01 4.026119e+02 
1.000000e+01 5.351951e+02 5.934753e+01 4.054574e+02 
1.500000e+01 5.269788e+02 6.446960e+01 4.085516e+02 
2.000000e+01 5.182056e+02 6.988517e+01 4.119093e+02 
2.500000e+01 5.088708e+02 7.558439e+01 4.155448e+02 
3.000000e+01 4.989757e+02 8.155211e+01 4.194722e+02 
3.500000e+01 4.885283e+02 8.776752e+01 4.237042e+02 
4.000000e+01 4.775435e+02 9.420389e+01 4.282526e+02 
4.500000e+01 4.660439e+02 1.008284e+02 4.331277e+02 
5.000000e+01 4.540597e+02 1.076024e+02 4.383379e+02 
5.500000e+01 4.416288e+02 1.144815e+02 4.438897e+02 
6.000000e+01 4.287968e+02 1.214162e+02 4.497870e+02 
6.500000e+01 4.156159e+02 1.283527e+02 4.560314e+02 
7.000000e+01 4.021445e+02 1.352341e+02 4.626214e+02 
7.500000e+01 3.884459e+02 1.420012e+02 4.695529e+02 
8.000000e+01 3.745875e+02 1.485939e+02 4.768186e+02 
8.500000e+01 3.606387e+02 1.549530e+02 4.844084e+02 
9.000000e+01 3.466699e+02 1.610210e+02 4.923090e+02 
9.500000e+01 3.327511e+02 1.667442e+02 5.005047e+02 
1.000000e+02 3.189498e+02 1.720733e+02 5.089769e+02 
1.050000e+02 3.053304e+02 1.769648e+02 5.177047e+02 
1.100000e+02 2.919525e+02 1.813821e+02 5.266655e+02 
1.150000e+02 2.788700e+02 1.852955e+02 5.358345e+02 
1.200000e+02 2.661306e+02 1.886832e+02 5.451862e+02 
1.250000e+02 2.537752e+02 1.915309e+02 5.546939e+02 
1.300000e+02 2.418378e+02 1.938320e+02 5.643302e+02 
1.350000e+02 2.303451e+02 1.955870e+02 5.740679e+02 
1.400000e+02 2.193171e+02 1.968030e+02 5.838799e+02 
1.450000e+02 2.087674e+02 1.974931e+02 5.937395e+02 
1.500000e+02 1.987036e+02 1.976756e+02 6.036208e+02 
1.550000e+02 1.891279e+02 1.973731e+02 6.134990e+02 
1.600000e+02 1.800377e+02 1.966119e+02 6.233504e+02 
1.650000e+02 1.714263e+02 1.954207e+02 6.331530e+02 
1.700000e+02 1.632837e+02 1.938305e+02 6.428859e+02 
1.750000e+02 1.555969e+02 1.918732e+02 6.525299e+02 
1.800000e+02 1.483509e+02 1.895815e+02 6.620676e+02 
1.850000e+02 1.415288e+02 1.869882e+02 6.714830e+02 
1.900000e+02 1.351126e+02 1.841254e+02 6.807619e+02 
1.950000e+02 1.290836e+02 1.810248e+02 6.898916e+02 
2.000000e+02 1.234225e+02 1.777165e+02 6.988609e+02 
2.050000e+02 1.181101e+02 1.742297e+02 7.076603e+02 
2.100000e+02 1.131270e+02 1.705916e+02 7.162814e+02 
2.150000e+02 1.084546e+02 1.668281e+02 7.247174e+02 
2.200000e+02 1.040744e+02 1.629631e+02 7.329625e+02 
2.250000e+02 9.996864e+01 1.590190e+02 7.410123e+02 
2.300000e+02 9.612036e+01 1.550162e+02 7.488634e+02 
2.350000e+02 9.251324e+01 1.509735e+02 7.565133e+02 
2.400000e+02 8.913181e+01 1.469078e+02 7.639604e+02 
2.450000e+02 8.596141e+01 1.428346e+02 7.712040e+02 
2.500000e+02 8.298821e+01 1.387678e+02 7.782440e+02 
2.550000e+02 8.019916e+01 1.347198e+02 7.850811e+02 
2.600000e+02 7.758205e+01 1.307015e+02 7.917164e+02 
2.650000e+02 7.512542e+01 1.267227e+02 7.981519e+02 
2.700000e+02 7.281855e+01 1.227919e+02 8.043895e+02 
2.750000e+02 7.065143e+01 1.189166e+02 8.104320e+02 
2.800000e+02 6.861473e+01 1.151031e+02 8.162822e+02 
2.850000e+02 6.669975e+01 1.113568e+02 8.219434e+02 
2.900000e+02 6.489840e+01 1.076825e+02 8.274191e+02 
2.950000e+02 6.320312e+01 1.040840e+02 8.327129e+02 
3.000000e+02 6.160693e+01 1.005643e+02 8.378288e+02 
3.050000e+02 6.010330e+01 9.712599e+01 8.427707e+02 
3.100000e+02 5.868619e+01 9.377103e+01 8.475428e+02 
3.150000e+02 5.734996e+01 9.050081e+01 8.521492e+02 
3.200000e+02 5.608940e+01 8.731630e+01 8.565943e+02 
3.250000e+02 5.489964e+01 8.421806e+01 8.608823e+02 
3.300000e+02 5.377618e+01 8.120628e+01 8.650175e+02 
3.350000e+02 5.271481e+01 7.828082e+01 8.690044e+02 
3.400000e+02 5.171165e+01 7.544130e+01 8.728471e+02 
3.450000e+02 5.076305e+01 7.268704e+01 8.765499e+02 
3.500000e+02 4.986565e+01 7.001718e+01 8.801172e+02 
3.550000e+02 4.901632e+01 6.743066e+01 8.835530e+02 
3.600000e+02 4.821211e+01 6.492628e+01 8.868616e+02 
3.650000e+02 4.745032e+01 6.250268e+01 8.900470e+02 
3.700000e+02 4.672841e+01 6.015840e+01 8.931132e+02 
3.750000e+02 4.604401e+01 5.789186e+01 8.960641e+02 
3.800000e+02 4.539491e+01 5.570144e+01 8.989036e+02 
3.850000e+02 4.477907e+01 5.358542e+01 9.016355e+02 
3.900000e+02 4.419454e+01 5.154206e+01 9.042634e+02 
3.950000e+02 4.363955e+01 4.956955e+01 9.067909e+02 
4.000000e+02 4.311241e+01 4.766609e+01 9.092215e+02 
4.050000e+02 4.261154e+01 4.582983e+01 9.115586e+02 
4.100000e+02 4.213549e+01 4.405893e+01 9.138056e+02 
4.150000e+02 4.168288e+01 4.235154e+01 9.159656e+02 
